Date,Focus,Tasks to finish that day,Output expected
"2026-04-07","Planning and cleanup","Set up Notion Kanban, define MVP, clean repo plan, assign roles","Clear roadmap and task ownership"
"2026-04-08","Foundation","Configure project, env files, pre-commit, quality tools, PostgreSQL local start, Figma zoning","Project setup and zoning"
"2026-04-09","Core back-end","SQLAlchemy models, login and session, database connection, wireframes","Database connected and authentication working"
"2026-04-10","Core features","Employee CRUD, task CRUD, type hints, comments, front and back linking","Functional MVP screens"
"2026-04-11","Quality and design","Leave requests, pytest, mockups, team page, Tally form","Tested MVP and mockups"
"2026-04-12","Architecture docs","UML, MCD, LMD, MPD, Hugging Face API proof","Technical diagrams and AI proof"
"2026-04-13","Integration and deployment","Make scenario, Railway deploy, data dictionary","Online proof and automation proof"
"2026-04-14","Compliance and evidence","Security section, GDPR section, Git evidence, README deploy","Compliance and project proof pack"
"2026-04-15","Presentation build","Finish slides, prepare Git screenshots, architecture slides, demo flow","Almost final slide deck"
"2026-04-16","Final report and rehearsal","Finish 20-page report, rehearse oral, final technical check","Final report and rehearsed pitch"
"2026-04-17","Presentation day","Deliver oral presentation and demo","RNCP presentation"
