Task,Status,Category,Priority,Start date,Due date,Deliverable,Notes
"Define MVP and team roles","To do","Project management","High","2026-04-07","2026-04-07","Clear scope and role list","Decide who does front, back, docs, and diagrams"
"Create personal Git branches for each member","To do","Project management","High","2026-04-07","2026-04-08","Branch naming plan","Show Git organization in the presentation"
"Set up Notion Kanban and calendar","To do","Project management","High","2026-04-07","2026-04-07","Project board","Update it every day"
"Clean Flask project structure","To do","Back-end","High","2026-04-07","2026-04-08","Clean repository tree","Prepare templates, static, tests, and docs"
"Add .env.example and environment variables","To do","Back-end","High","2026-04-07","2026-04-08","Environment config","Add SECRET_KEY and DATABASE_URL"
"Add requirements-dev.txt","To do","Quality","High","2026-04-07","2026-04-08","Dev dependencies file","Include pytest, black, flake8, and pre-commit"
"Configure Black, Flake8 and pre-commit","To do","Quality","High","2026-04-08","2026-04-08","Quality tooling","Proof of coding best practices"
"Create local PostgreSQL database","To do","Database","High","2026-04-08","2026-04-09","Local DB running","Required for Bloc 2"
"Create SQLAlchemy models","To do","Database","High","2026-04-08","2026-04-09","Manager, Employee, Task, LeaveRequest models","Start with MVP entities"
"Build secure login and session flow","To do","Back-end","High","2026-04-08","2026-04-09","Authentication flow","Use hashed passwords"
"Build dashboard page","To do","Back-end","High","2026-04-09","2026-04-09","Working dashboard","Must be connected to the back-end"
"Build employee CRUD","To do","Back-end","High","2026-04-09","2026-04-10","Employee management","Create, read, update, delete"
"Build task CRUD","To do","Back-end","High","2026-04-09","2026-04-10","Task management","Keep it simple but complete"
"Build leave request feature","To do","Back-end","Medium","2026-04-10","2026-04-11","Leave request page","Enough for demo and diagrams"
"Add type hints to Python functions","To do","Quality","High","2026-04-08","2026-04-10","Typed code","Match the project brief"
"Add comments in English","To do","Quality","Medium","2026-04-08","2026-04-10","Clean readable code","Only useful comments"
"Rename variables in snake_case if needed","To do","Quality","Medium","2026-04-08","2026-04-10","Standardized codebase","All code must stay in English"
"Write pytest tests for auth flow","To do","Testing","High","2026-04-10","2026-04-11","Authentication tests","Login, logout, and protected routes"
"Write pytest tests for core CRUD","To do","Testing","High","2026-04-10","2026-04-11","CRUD tests","Smoke tests are enough if time is short"
"Fix and connect landing page to Flask app","To do","Front-end","Medium","2026-04-09","2026-04-10","Linked front/back experience","Reuse the existing design"
"Create group presentation page","To do","Front-end","Medium","2026-04-10","2026-04-11","Team page","Add members, roles, and project schedule"
"Prepare zoning in Figma","To do","Design","High","2026-04-08","2026-04-09","Zoning screens","Use screenshots in the report"
"Prepare wireframes in Figma","To do","Design","High","2026-04-09","2026-04-10","Wireframes","Include homepage, login, and dashboard"
"Prepare mockups in Figma","To do","Design","High","2026-04-10","2026-04-11","Final mockups","Use the same screens as the wireframes"
"Create UML diagram","To do","Documentation","High","2026-04-11","2026-04-12","UML diagram","Use real entities from the app"
"Create MCD","To do","Documentation","High","2026-04-11","2026-04-12","MERISE MCD","Based on the functional data model"
"Create LMD","To do","Documentation","High","2026-04-12","2026-04-12","MERISE LMD","Logical schema"
"Create MPD","To do","Documentation","High","2026-04-12","2026-04-12","MERISE MPD","Physical schema"
"Create data dictionary","To do","Documentation","High","2026-04-12","2026-04-13","Data dictionary","Field name, type, description, and constraints"
"Create Tally form","To do","Integration","Medium","2026-04-11","2026-04-12","Public form","Example: contact or onboarding request"
"Connect Hugging Face API","To do","Integration","Medium","2026-04-12","2026-04-13","AI proof of concept","Keep it simple and demoable"
"Connect workflow to Make","To do","Integration","Medium","2026-04-13","2026-04-14","Make scenario","One useful automation is enough"
"Prepare Railway deployment","To do","Deployment","High","2026-04-13","2026-04-14","Online app","Even a basic deploy is valuable"
"Write deployment documentation","To do","Deployment","High","2026-04-13","2026-04-14","Deployment procedure","Local and Railway steps"
"Write security best practices section","To do","Security","High","2026-04-13","2026-04-14","Security documentation","Passwords, env vars, sessions, and access control"
"Write GDPR compliance section","To do","Security","High","2026-04-13","2026-04-14","GDPR notes","Data collection, consent, and user rights"
"Gather Git evidence: branches, commits, merges","To do","Project management","High","2026-04-14","2026-04-15","Git screenshots","Important for the oral presentation"
"Gather Kanban evidence","To do","Project management","Medium","2026-04-14","2026-04-15","Notion screenshots","Show project organization"
"Prepare 20-minute slide deck","To do","Presentation","High","2026-04-14","2026-04-16","Final presentation","Slide 1 in English"
"Write project specifications document","To do","Documentation","High","2026-04-14","2026-04-15","Specifications document","Include objectives, users, and features"
"Write front-end development section","To do","Documentation","High","2026-04-15","2026-04-16","Report section","Explain UI choices and implementation"
"Write back-end development section","To do","Documentation","High","2026-04-15","2026-04-16","Report section","Explain Flask, database, routes, and logic"
"Write testing section","To do","Documentation","High","2026-04-15","2026-04-16","Report section","Explain pytest and validations"
"Write security and infrastructure section","To do","Documentation","High","2026-04-15","2026-04-16","Report section","Include Railway and PostgreSQL"
"Assemble final 20-page RNCP report","To do","Documentation","High","2026-04-15","2026-04-16","Final report PDF","Follow the RNCP structure"
"Rehearse group presentation","To do","Presentation","High","2026-04-16","2026-04-16","Oral rehearsal","Keep it within 20 minutes"
"Final technical and demo check","To do","Finalization","High","2026-04-16","2026-04-16","Working demo","Test login, database, and key pages"
"Presentation day","To do","Milestone","High","2026-04-17","2026-04-17","Final presentation","Slides, demo, and report"
